,Provider Name,Complete Address,Contact No.
1056,I-SCAN DIAGNOSTIC CENTER INC.,86 B MALAKAS STREET BRGY. PINYAHAN  QUEZON CITY METRO MANILA,(02) 928-6197
1057,PMP DIAGNOSTIC CENTER INC., #1369 GARNET STREET COR EMERALD STREET  SANTA ROSA CITY LAGUNA,(049) 534-5712
1058,SUMMIT TEAM WELLNESS CORP,"UNIT 401-402 WEST TOWER PHILLIPINE STOCK EXCHANGE CENTER, EXCHANGE ROAD ORTIGAS CENTER PASIG CITY METRO MANILA",(02) 8667-3065
1059,SACRED HEART CLINIC,114 PENARANDA STREET  LEGAZPI CITY ALBAY,(052) 201 8513 / 09175968127
1060,ST. JUDE MEDICAL CLINIC & DIAGNOSTIC CENTER (TINAJEROS BRANCH),"153 GOVERNOR PASCUAL ,COR. MH DEL PILAR TINAJEROS  MALABON CITY METRO MANILA",(02) 381-9534; (0933) 365-6310
1061,QUALIMED HEALTH NETWORK (FORMERLY QUALIMED WOMENâ€™S AND CHILDRENâ€™S HOSPITAL),DON DONATO PISON AVENUE SAN RAFAEL MANDURRIA ILOILO CITY ILOILO,(033) 321-5125 / 501-5469
1062,LAGUNA DOCTORS HOSPITAL INC.,SITIO MAPAGMAHAL BRGY. PAGSAWITAN  SANTA CRUZ LAGUNA,(049) 501-1491 / 501-4094
1063,PAETE GENERAL HOSPITAL INC.,J P RIZAL BARANGAY QUINALE PAETE LAGUNA,(049) 557-0005
1064,MEGACENTER DIAGNOSTICS CORP,KATIPUNAN BUILDING NO 95 E RODRIGUEZ SR BOULEVARD KATIPUNAN QUEZON CITY METRO MANILA,(02) 8781-0388
1065,DR. HELEN ROSALINDA S. FUENTES MEDICAL CLINIC (PCP),J LLORENTE STREET CAPITOL SITE CEBU CITY CEBU,(032) 268-8728
1066,HI-PRECISION DIAGNOSTICS (PIONEER BRANCH),8006 PIONEER CENTER CORNER UNITED & BRIXTON STREETS BRGY. KAPITOLYO  PASIG CITY METRO MANILA,(02) 8631-7564/(02) 631-7306 LOC 101
1067,HI-PRECISION DIAGNOSTICS (TAFT BRANCH),1852 TAFT AVENUE BRGY. 693 ZONE 075 MANILA METRO MANILA,(02) 8405-0039/(02) 8405-0135
1068,HI-PRECISION DIAGNOSTICS (SAN FERNANDO BRANCH),"UNIT 101 -103 GF GOP BLDG., MC ARTHUR HIGHWAY CORNER DONA CONSOLACION BRGY. DOLORES SAN FERNANDO CITY PAMPANGA",(045) 409-8352/(045) 435-1868
1069,HI-PRECISION DIAGNOSTICS (BALIUAG BULACAN BRANCH),BENIGNO S AQUINO SR AVENUE  BAGONG NAYON BALIUAG BULACAN,(044) 766-0280 / (044) 766-0281
1070,SAN LORENZO HOSPITAL HEALTH MANAGEMENT COMPANY INC. (NOVALICHES BRANCH),QUIRINO HIGHWAY LAGRO  QUEZON CITY METRO MANILA,(02) 8939-7054
1071,SAN LORENZO HOSPITAL HEALTH MANAGEMENT COMPANY INC. (CALOOCAN BRANCH),24 BARANGAY 170 ZONE 15 SUSANO ROAD DEPARO STREET  CALOOCAN CITY METRO MANILA,(02) 8939-6042
1072,E.R. SAN JUAN CLINICAL LABORATORY,64 RIZAL AVENUE BRGY. SAN ISIDRO  TAYTAY RIZAL,(02) 658-6117
1073,EVERGREEN MEDICAL AND DIAGNOSTIC CENTER INC.,"641 J&B BUILDING, E RODRIGUEZ STREET, EDSA  BRGY. MALIBAY PASAY CITY METRO MANILA",(02) 8844-1713
1074,MEDICUS MEDICAL CENTER,"B S AQUINO AVENUE BRGY. SAN RAFAEL, MANDURRIAO ILOILO CITY ILOILO",(033) 328-7777
1075,ST. CLAREâ€™S MEDICAL CENTER INC,1838 DIAN STREET PALANAN MAKATI CITY  MAKATI CITY METRO MANILA,(02) 8832-0055 / 8831-6511
1076,DASMARINAS CITY MEDICAL CENTER INC.,SALAWAG CROSSING BRGY. SALAWAG DASMARIÃ‘AS CAVITE,(046) 483-9000 / (02) 8552-5171
1077,OUR LADY OF PROMPT SUCCOR MEDICAL CLINIC,"MOLINO BLDG #9 SITIO ILOG PUGAD, NATIONAL ROAD BRGY. SAN JUAN TAYTAY RIZAL",(02) 8658-8169 / 8579-3652
1078,HOLY ROSARY OF CABUYAO HOSPITAL INC.,ROSARIO VILLAGE BRGY. SALA  CABUYAO LAGUNA,(049) 508-0434
1079,DR. JINKY BEGYAN - FIGURACION MEDICAL CLINIC (PCP),BASAK ROAD  LAPU-LAPU CITY (OPON CEBU,(032) 316-7003
1080,OSPITAL NG KABATAAN NG DIPOLOG INC.,PADRE RAMON STREET ESTAKA DIPOLOG CITY ZAMBOANGA DEL NORTE,(065) 212-2837 / 212-4821
1081,GONZALES MARANAN MEDICAL CENTER INC. (GUIHING BRANCH),CAMPO 10 GUIHING HAGONOY DAVAO DEL SUR,(082) 218-2309
1082,INTEGRATED CLINICS OF OTOLARYNGOLOGY HEAD AND NECK SURGERY INC. (ICOHNS),QUIRINO AVENUE CORNER MT. MAYON STREET  DAVAO CITY DAVAO DEL SUR,(082) 227-7343
1083,RPMED ADVANCED DIAGNOSTIC & OUTPATIENT CENTER,"36 Quimpo Blvd, Talomo District  DAVAO CITY DAVAO DEL SUR",(082) 295-0361
1084,BACOOR DOCTORS MEDICAL CENTER,MOLINO BOULEVARD BRGY. BAYANAN BACOOR CAVITE,(046) 519-4384
1085,GRAMAN MEDICAL & MATERNITY HOSPITAL,#44 CAMIA ST. BRGY. DAKILA MALOLOS CITY BULACAN,(044) 802-5871 / (0915) 277-6636
1086,"CLINICA HENSON EYE, EAR, NOSE AND THROAT CENTER",066 MACARTHUR HIGHWAY  ANGELES CITY PAMPANGA,(045) 625-2525
1087,"SALVE REGINA GENERAL HOSPITAL, INC.",MARCOS HIGHWAY BARRIO DELA PAZ PASIG CITY METRO MANILA,(02) 8477-4832/8933-7133
1088,NUESTRO SENOR SANTO NINO HOSPITAL INC (FORMERLY SENOR STO NINO HOSPITAL - BAYAMBANG),JUAN LUNA ST POBLACION SUR BAYAMBANG PANGASINAN,(075) 632-0183 / 632-0146
1089,GENSENS INC.,NIT 401-402 4/F ELEMENTS BLDG.560 QUEZON AVE TATALON QUEZON CITY METRO MANILA,(02) 3412-9210
1090,ST. JUDE MEDICAL CLINIC & DIAGNOSTIC CENTER (SAN AGUSTIN BRANCH),#1 GEN LUNA ST. BRGY. SAN AGUSTIN MALABON CITY METRO MANILA,(02) 709-7125
1091,ST. JUDE MEDICAL CLINIC & DIAGNOSTIC CENTER (CALOOCAN BRANCH),"BLK 51 LOT 3 BRGY 8, DAGAT DAGATAN  CALOOCAN CITY METRO MANILA",(02) 980-2464
1092,BENGUET LABORATORIES - CENTER MALL,LEVEL 4 BAGUIO CENTER MALL  BAGUIO CITY BENGUET,(074) 442-4528
1093,ASIA RENAL CARE (PHILS) INC. II,"G/F CKU BLDG., J. LLORENTE ST. BRGY. CAPITOL SITE CEBU CITY CEBU",(032) 255-8491/(032) 253-3244
1094,THE MEDICAL CITY CLINIC (SM - FTI BRANCH),G/F 85 DBP AVENUE FTI COMPLEX WESTERN  TAGUIG CITY TAGUIG CITY METRO MANILA,(02) 8519-3221 / 8519-1323
1095,DIAGNOSTICA DE SAN VICENTE,"284 DONA ANITA BUILDING, E. RODRIGUEZ AVENUE  QUEZON CITY METRO MANILA",(02) 8724-3980
1096,"MARY IMMACULATE MATERNITY AND GENERAL HOSPITAL, INC",F. ESTRELLA ST. STO. ROSARIO MALOLOS CITY BULACAN,(044) 796-1655
1097,CALALANG GENERAL HOSPITAL,803 MC ARTHUR HIGHWAT CORNER EDSA ST.  VALENZUELA CITY METRO MANILA,(02) 8291-6801 TO 02 LOC 103
1098,"MARIKINA VALLEY MEDICAL CENTER, INC.",SUMULONG HIGHWAY CORNER AGUINALDO ST.  MARIKINA CITY METRO MANILA,(02) 8682-2222
1099,HEALTH HUB MULTISPECIALTY & DIAGNOSTIC CLINIC CORPORATION,4TH LEVEL ROBINSONS PLACE  MALOLOS CITY BULACAN,(044) 794-5633
1100,"RECUENCO GENERAL HOSPITAL, INC (FORMERLY RECUENCO MEDICAL MATERNITY CHILDREN & WELL BABY CLINIC)","#68 SAMPALOC EXTENSION, ZONE 1, SIGNAL VILLAGE  TAGUIG CITY METRO MANILA",(02) 8808-5950 / 8837-9679
1101,PHYSIXARE ADTEK SOULTIONS ( FORMERLY PHYSIOASIA THERAPY CENTER),"210 MCKINLEY PARK RESIDENCES 3RD AVENUE COR 31ST  STREET, BONIFACIO GLOBAL CITY  TAGUIG CITY METRO MANILA",(02) 8519-8338
1102,ZAMBOANGA PENINSULA MEDICAL CENTER INC,MCLL HIGHWAY PUTIK ZAMBOANGA CITY ZAMBOANGA DEL SUR,(062) 955-4579
1103,ANTIQUE MEDICAL CENTER INC.,ILOILO-ANTIQUE ROAD  SAN JOSE ANTIQUE,(036) 540-7185
1104,MCS DIAGNOSTIC CENTER (BACOLOD BRANCH),HILADO STREET CORNER LN AGUINALDO DRIVE  BACOLOD CITY NEGROS OCCIDENTAL,(034) 709-6065
1105,MCS DIAGNOSTIC CENTER (BACOLOD BRANCH - ON-SITE APE),HILADO STREET COR LN AGUSTIN DRIVE  BACOLOD CITY NEGROS OCCIDENTAL,(034) 709-6065
1106,MCS DIAGNOSTIC CENTER (SAN CARLOS BRANCH),LEDESMA AVENUE CORNER ILANG-ILANG STREET  SAN CARLOS CITY NEGROS OCCIDENTAL,(034) 729-3545
1107,MCS DIAGNOSTIC CENTER (ISABELA BRANCH),RIZAL STREET  ISABELA NEGROS OCCIDENTAL,(034) 387-2317
1108,PHILIPPINE KIDNEY DIALYSIS FOUNDATION INC. (LAGING HANDA BRANCH),#73 ROCES AVENUE CORNER SCOUNT SANTIAGO STREET BARANGAY LAGING HAND QUEZON CITY METRO MANILA,(02) 8376-2820
1109,PHILIPPINE KIDNEY DIALYSIS FOUNDATION INC. (TOMAS MORATO BRANCH),#79 SCOUT GANDIA CORNER TOMAS MORATO   QUEZON CITY METRO MANILA,(02) 276-2821
1110,MATEO-MABBORANG GENERAL HOSPITAL,TOMA CRUZ STREET  BRGY. STO. NINO HAGONOY BULACAN,(044) 760-6497 / 794-4399 / 793-5766
1111,VITALAB HEALTHCARE INC (GENERAL SANTOS CITY BRANCH),NATIONAL HIGHWAY BRGY. LABANGAL GENERAL SANTOS CITY  COTABATO,(083) 302 1367
1112,VITALAB HEALTHCARE INC (CAGAYAN DE ORO BRANCH),GENERAL LUNA STREET BRGY. COGON CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 850 3069
1113,VITALAB REDMARK CORPORATION (MAIN BRANCH),KM  5 BAJADA DAVAO CITY DAVAO DEL SUR,(082) 300 4264
1114,VITALAB REDMARK CORPORATION (LANANG BRANCH),KM 8  BO PAMPANGA LANANG DAVAO CITY DAVAO DEL SUR,(082) 234 1964
1115,HEMOTEK RENAL CENTER INC. (MALATE BRANCH),"463 REMEDIOS ST,  MALATE MANILA METRO MANILA",(02) 523-1746
1116,DR. BORJAâ€™S DIAGNOSTIC LABORATORY (MEDICUS MANDURRIAO),Q ABETO-MIRASOL MANDURRIAO ILOILO CITY ILOILO,(033) 321-1193 / 333-3575
1118,UNIVERSITY OF CEBU MEDICAL CENTER INC (UCMED),OUANO AVENUE SUBANGDAKU MANDAUE CITY CEBU,(032) 520-3379
1119,METRODOCS MULTISPECIALTY AND DIAGNOSTIC CLINIC,"UNITS 1-2 JACINTO PLAZA BLDG 58 A RODRIGUEZ AVE, SANTOLAN PASIG CITY METRO MANILA",(02) 8645-6486
1120,NEGROS FAMILY HEALTH SERVICES INC,NORTH ROAD DARO DUMAGUETE CITY NEGROS ORIENTAL,(035) 225-3544
1121,ZCV ADVANCE MEDICAL DIAGNOSTIC LABORATORY,J P LAUREL AVENUE BAJADA DAVAO CITY DAVAO DEL SUR,(082) 330-7581
1122,CARE LIFE MEDICAL LABORATORY AND DIAGNOSTIC CENTER,R CASTILLO STREET BRGY UBALDE DAVAO CITY DAVAO DEL SUR,(082) 287-3138
1123,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - BALIWAG, INC",LOT 2975 C1 DONA REMEDIOS TRINIDAD HIGHWAY PINAGNBARILAN BALIUAG BULACAN,(044)816-1000 LOC 120
1125,MANILA HEARING AID CENTER INC. (GLORIETTA BRANCH),"3RD FLOOR MERCURY DRUG, GLORIETTA 4 MALL , LEGASPI ST.,  MAKATI CITY METRO MANILA",(02) 817-2756
1126,ELGUIRA GENERAL HOSPITAL,RIZAL AVENUE  SAN CARLOS CITY PANGASINAN,(075) 532-4481
1127,ERNESTO GUADALUPE COMMUNITY HOSPITAL,JASMIN STREET SAN NICOLAS DALIAO T DAVAO CITY DAVAO DEL SUR,(082) 2911054
1128,"IMMACULATE HEART OF MARY, HOSPITAL INC.",E. RAFAEL STREET RAWIS VIRAC CATANDUANES,(0968) 291-9164 / (0908) 276-5078
1130,LABELLA HOSPITAL,1ST ROAD CALUMPANG GENERAL SANTOS CITY  COTABATO,(083) 553-3509
1131,"Mâ€™LANG SPECIALISTS MEDICAL CENTER(MSMC), INC.",MAGSAYSAY AVENUE PUROK 2 BRGY SANGAT M`LANG COTABATO,(064) 572-0726
1132,THE MEDICAL CITY CLINIC (SM - CABANATUAN BRANCH),"UNIT 357B-360, 3/F SM CITY CABANATUAN, MAHARLIKA HIGHWAY H. CONCEPCION CABANATUAN CITY NUEVA ECIJA",(044) 8951-0158 / 8951-0376
1133,NEW BAYUGAN MEDICAL HOSPITAL,MAYGATASAN NATIONAL HIGHWAY  BAYUGAN AGUSAN DEL SUR,(085) 2313352
1134,TAYTAY MATERNITY AND CHILD CARE CENTER,RIZAL AVENUE COR ISAGANI ST. BRGY. SAN ISIDRO TAYTAY RIZAL,(02) 8570-5284/8542-4728
1135,HI-PRECISION DIAGNOSTICS (DAGUPAN BRANCH),"GROUND FLOOR, 2-5 BHF FAMILY PLAZA, MC ARTHUR HIGHWAY BRGY. MAYOMBO DAGUPAN CITY PANGASINAN",(075) 600-1728
1136,NORTHSIDE DOCTORS HOSPITAL,GUIMOD  BANTAY ILOCOS SUR,(077) 604-0474/(077) 604-0475
1137,"TRICITY MEDICAL CENTER, INC.","269 RAYMUNDO, AVENUE  PASIG CITY METRO MANILA",(02) 8275-9751
1138,PADRE PIO KIDNEY CARE CENTER CO.,"BUILDING B, COMERCIAL GROUND FLOOR, ORTIGAS ROYAL CONDOMINIUM, ORTIGAS AVENUE EXTENSION BRGY. SAN JUAN CAINTA RIZAL",(02) 7213-4707
1139,THE MEDICAL CITY CLINIC (WALTERMART - PAMPANGA BRANCH),"G/F WALTERMART, MC ARTHUR HIGHWAY,  BRGY. SAN AGUSTIN, SAN FERNANDO CITY PAMPANGA",(045) 435-9051 LOCAL 7061 | 435-9050
1140,MANILA HEARING AID CENTER INC. (SM MEGAMALL BRANCH),5/F BUILDING A  MANDALUYONG CITY METRO MANILA,(02) 8633-6039
1141,"MEDCOR PASIG HOSPITAL AND MEDICAL CENTER (MARIKINA DOCTORS HOSPITAL AND MEDICAL CENTER, INC.)","10, EVANGELISTA ROAD BRGY. SANTOLAN PASIG CITY METRO MANILA",(02) 8535-3837
1142,"PADRE PIO MATERNITY AND MEDICAL HOSPITAL, INC.","536, GENERAL LUNA STREET, BALANTE BRGY. AMPID SAN MATEO RIZAL",(02) 8661-7905 / 8656-3475 / 274-9889
1143,"VALLEYMED DIAGNOSTIC & AMBULATORY SURGICAL CENTER, INC.","UNIT 1-B, CITICENTRE, J.P. RIZAL CORNER PUERTO RICO STREET BRGY. NANGKA MARIKINA CITY METRO MANILA",(02) 8576-6622;  02 7586-5701 (0917) 899-8259
1144,"UNIMED DIAGNOSTIC CENTER, CORP.","2ND FLOOR, JLC BUILDING, N. RAMIREZ STREET  QUEZON CITY METRO MANILA",(02) 8290-2302 / 8413-4888
1145,"SAINT CLARE OB-GYN, PEDIATRIC & DIAGNOSTIC CLINIC","LC BUILDING, MAC ARTHUR HIGHWAY SAN ROQUE TARLAC TARLAC",(045) 493-0709
1146,LR MEDICAL LABORATORY AND CLINIC,GENERAL MAXILOM AVENUE  CEBU CITY CEBU,(032) 410-7485 / 401-1163
1147,MANILA HEARING AID CENTER INC. (ALABANG),"L3A SERVICE TOWN, ALABANG TOWN CENTER  MUNTINLUPA METRO MANILA",(02) 8809-3902
1148,"PANAY MEDICAL VENTURES EYE AND EAR CENTER, INC.",AYALA ATRIA PARK DISTRICT DON DONATO PISON AVENUE BRGY SAN RAFAEL MAND ILOILO CITY ILOILO,(033) 321-5119
1149,"PROVIDENT MEDICAL HEALTH CARE & SERVICES, INC.","99 DON MANUEL AGREGADO,  SANTA MESA HEIGHTS QUEZON CITY METRO MANILA",(02) 8741-3408 LOC 203
1150,PHILCARE MOA CLINIC,"4TH FLOOR, FIVE E-COM CENTER, MALL OF ASIA COMPLEX, HARBOR DRIVE  PASAY CITY METRO MANILA",(02) 8893-9443/8893-3234
1151,"MEDICAL CENTER OF TAGUIG CITY, INC.",LEVI B. MARIANO AVENUE  TAGUIG CITY METRO MANILA,(02) 8888-6284
1152,"HI-PRECISION DIAGNOSTICS PLUS (LITTLE BAGUIO, SAN JUAN BRANCH)","UNIT G01, G02 AND M03, 17 JOSE ABAD SANTOS LITTLE BAGUIO SAN JUAN METRO MANILA",(02) 8871-7459 / 8871-6406
1153,HI-PRECISION DIAGNOSTICS PLUS (BF HOMES),64 AGUIRRE AVENUE SUCAT PARAÃ‘AQUE METRO MANILA,(02) 8834-1289 & 95
1154,IMED MULTISPECIALTY CLINIC & LABORATORY,"T03, 3F, VICTORY CENTRAL MALL, #717, OLD VICTORY, RIZAL AVENUE MONUMENTO CALOOCAN CITY METRO MANILA",(02) 277-6347
1155,HI-PRECISION DIAGNOSTICS (COMMONWEALTH BRANCH),"G/F CPE MULTI RESOURCES INC. BLDG. EAST FAIRVIEW,  BRGY. FAIRVIEW PARK QUEZON CITY METRO MANILA",(02) 8273-0874/8285-0928
1156,"CAVITE DIAGNOSTIC STROKE CARE CENTER, INC.",ANTERO SORIANO HIGHWAY  TANZA CAVITE,(046) 484-2363
1157,UNIHEALTH SOUTHWOODS HOSPITAL AND MEDICAL CENTER,LOT 3 BLK 11  BRGY SAN FRANCISCO BINAN LAGUNA,(02) 8775-2815 / 8861-6386 / 8775-2861
1158,"SILANG SPECIALISTS MEDICAL CENTER, INC.",AGUINALDO HIGHWAY BRGY. SAN VICENTE II SILANG CAVITE,(046) 409-1325 / (046) 482-9999
1159,"OSPITAL NG CALACA (METRO CALACA HOSPITAL, CORP)", BRGY. BAGONG TUBIG CALACA BATANGAS,(043) 223-7708
1160,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - PATEROS,884 P. HERRERA  PATEROS METRO MANILA,(02) 8706-9398
1161,PAMPANGA PREMIER MEDICAL CENTER,"KM 55,  BRGY. SAMPALOC APALIT PAMPANGA",(045) 425-0084
1162,LABCOR DIAGNOSTIC CENTER,"73 JHL PLAZA BLDG., LOT 35, BLK. 9, PRESIDENT AVENUE, TEOVILLE SUBD.,  BRGY. BF HOMES PARAÃ‘AQUE METRO MANILA",(02) 8731-7190 / (0995) 940-3444
1163,MEDICUS (TAGUM BRANCH),1ST AVENUE ROXAS STREET MAGUGPO TAGUM CITY DAVAO DEL NORTE,(084) 216-5474
1164,THE MEDICAL CITY CLINIC (SM CENTER VALENZUELA BRANCH),G/F SM CITY VALENZUELA MCARTHUR HIGHWAY BRGY. KARUHATAN VALENZUELA CITY METRO MANILA,(02) 8426-7816 / 8426-7818 / 8426-7819 LOC 7152
1165,"CHOICE HEALTH DIAGNOSTIC CENTER MEDICAL CLINIC, INC.","406, A. MABINI STREET,  BRGY. 015 CALOOCAN CITY METRO MANILA",(02) 961-7982
1166,THE MEDICAL CITY CLINIC (SM - SAN LAZARO BRANCH),108-B-111B UPPER G/F SM CITY SAN LAZARO AH. LACSON ST MANILA METRO MANILA,(02) 8426-7816 / 8247-1537 TO 39 / 8835-6862 LOC 7
1167,MANILA HEARING AID CENTER INC. (SM CITY NORTH EDSA BRANCH),"5TH FLOOR, THE BLOCK, SM CITY NORTH EDSA  QUEZON CITY METRO MANILA",(02) 8442-0047
1168,"HEALTHDEV INTEGRATIVE CLINICS, INC.","RM 103, CCS BUILDING ATENEO DE MANILA UNIVERSITY  QUEZON CITY METRO MANILA",(02) 3426-6001 / 3465-999
1169,JS MEDICAL & DIAGNOSTIC CENTER,CARDINAL ROSALES AVENUE (AYALA ACCESS RD) GORORDO AVENUE  CEBU CITY CEBU,(032) 231-4767
1170,CEBU SPECIALISTS AMBULATORY CARE CENTER INC,CEBU SOUTH ROAD BASAK SAN NICOLAS CEBU CITY CEBU,(032) 417-5173
1171,BENDEBEL MEDICAL CLINIC,NATIONAL HIGHWAY PONDOL BALAMBAN CEBU,(032) 465-0075
1172,MAAYO MEDICAL CLINIC CORPORATION,"NORTH PARK, U.N. AVENUE, CORNER PLARIDEL STREET ALANG-ALANG MANDAUE CITY CEBU",(032) 260-0808
1173,LINK2CARE DIAGNOSTIC CORPORATION,F. RAMOS STREET BRGY. COGON CEBU CITY CEBU,(032) 415-3352
1174,HI-PRECISION DIAGNOSTICS (CABANATUAN BRANCH),"THE CRESCENT BLDG., KM. 114, MAHARLIKA HIGHWAY COR. ZULUETA ST BRGY. ZULUETA CABANATUAN CITY NUEVA ECIJA",(044) 940-9404 / 329-9507
1175,"LPA AMBULATORY SURGERY AND DIAGNOSTIC CENTER, INC.",ARELLANO STREET  DAVAO CITY DAVAO DEL SUR,(082) 2224208
1176,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - QUEZON CITY, INC","NO. 20 SEMINARY ROAD, PROJECT 8 QUEZON CITY METRO MANILA",(02) 8283-3993/8281-7764
1177,PANAY MEDICAL VENTURES REHABILITATION CENTER INC,AYALA ATRIA PARK DISTRICT DON DONATO PISON AVENUE SAN RAFAEL MANDURRIA ILOILO CITY ILOILO,033321519
1178,"NEWPORT X-RAY, LABORATORY & MEDICAL CENTER INC","UNIT B & E, 867 MACEDA ST.  MANILA METRO MANILA",242-1407; 370-7956; 370-7957;
1179,THE MEDICAL CITY CLINIC (EASTWOOD BRANCH),"2B G/F OLYMPIC HEIGHTS, EASTWOOD AVENUE,  BRGY BAGUMBAYAN QUEZON CITY METRO MANILA",(02) 7720-9421 / 8835-6862 LOC 7072
1180,DONASCO CLINIC - PCP,NATIONAL HIGHWAY  GENERAL SANTOS CITY  COTABATO,(083) 554-2734
1181,BMCDC MEDICAL STATION (PANABO BRANCH),QUEZON STREET NEW PANDAN PANABO CITY  PANABO CITY DAVAO DEL NORTE,0822854324
1182,UNA KONSULTA,SM SITY (SOUTH WING) LUZURIAGA STREET  BACOLOD CITY NEGROS OCCIDENTAL,0347050000
1183,BMCDC MEDICAL STATION (CALINAN BRANCH),DAVAO-BUKIDNON ROAD POBLACION CALINAN DAVAO CITY DAVAO DEL SUR,(082) 2854324
1184,MT. APO LAB CENTER,MT. APO STREET  DAVAO CITY DAVAO DEL SUR,0822861832
1185,"GLOBAL CARE MEDICAL CENTER OF CANLUBANG, INC",J YULO AVENUE BRGY CANLUBANG CALAMBA CITY LAGUNA,(049) 520-5626
1186,STO. DOMINGO DIAGNOSTIC & MEDICAL CENTER CORP (PARANAQUE BRANCH),"UNIT A WILMART BLDG., 3104 REDEMPTORIST ROAD   PARAÃ‘AQUE METRO MANILA",(02) 8851-1992
1187,HI-PRECISION DIAGNOSTICS (KAWIT BRANCH),"UNIT 101, V CENTRAL MALL, CENTENNIAL ROAD,  MAGDALO PUTOL KAWIT CAVITE",(046) 437-1066 / 423-4075
1188,HI-PRECISION DIAGNOSTICS PLUS (ORTIGAS BRANCH),UNIT G20-23 ORTIGAS TECHNOPOINT ONE DONA JULIA VARGAS AV PASIG CITY METRO MANILA,(02) 8633-7931 / 8727-0506
1189,CHASE DIAGNOSTICS,LOPEZ JAENA STREET SUBANGDAKU MANDAUE CITY CEBU,0322392684
1190,HI-PRECISION DIAGNOSTICS (ANTIPOLO BRANCH),B1 L1 CIRCUMFERENTIAL ROAD BRGY SAN ROQUE ANTIPOLO CITY RIZAL,(02) 8727-91000
1191,HI-PRECISION DIAGNOSTICS (CAGAYAN DE ORO),J R BORJA COR  AGUINALDO STREET COGON CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 881-3187
1192,HI-PRECISION DIAGNOSTICS (BUTUAN),WATER GATE J ROSALES AVENUE BRGY BAYANIHAN BUTUAN CITY AGUSAN DEL NORTE,(085) 817-2728
1193,Q DIAGNOSTIC CENTER,LOCSIN - BURGOS STREETS  BACOLOD CITY NEGROS OCCIDENTAL,(034) 441-6723
1194,"DR. YANGAâ€™S HOSPITAL, INC.","#252 P. BURGOS ST.,  POBLACION,  BOCAUE BULACAN",(044) 692-5307 / 815-0384
1195,PASIG DOCTORS MEDICAL CENTER INC.,"254 AMANG RODRIGUEZ AVE.,   PASIG CITY METRO MANILA",(02)8997-2791/8878-7362 LOC 102
1196,FATIMA UNIVERSITY MEDICAL CENTER ANTIPOLO CORP,"KM. 23 HIGHWAY, SUMULONG STA CRUZ ANTIPOLO CITY RIZAL",(02) 8727-8845 LOC 1032
1197,ADVANCE HEALTH SERVICES COOPERATIVE,JUANA OSMENA COR J LLORENTE STREET CAPITOL SITE CEBU CITY CEBU,(032) 520-3214
1198,ULTRAMED DIAGNOSTIC CENTER INC.,"MEZZANINE OYG BLDG B, MENDOZA ST  SAN FERNANDO CITY PAMPANGA",(045) 436-5930
1199,"SAN MATEO DOCTORS HOSPITAL, INC","GENERAL LUNA AVENUE,  GUITNANG BAYAN 1,  ANTIPOLO CITY RIZAL",(02) 8534-1200/8534-1254/8213-1137
1200,THE MEDICAL CITY CLINIC (SAN LORENZO PLACE BRANCH),"2/F SAN LORENZO PLACE TOWER 3, EDSA COR. CHINO ROCES AVE BARANGAY BANGKAL MAKATI CITY METRO MANILA",(02) 8837-9383 / 8838-3750 / 8838-0008
1201,HI-PRECISION DIAGNOSTICS PLUS (CALAMBA BRANCH),"G/F ANDENSON BUILDING III, NATIONAL HIGHWAY,  BRGY PARIAN CALAMBA CITY LAGUNA",(049) 508-9872
1202,METRO ILOILO HOSPITAL & MEDICAL CENTER INC.,METROPOLIS AVENUE TAGBAK JARO ILOILO CITY ILOILO,(033) 327-1527
1204,HI-PRECISION DIAGNOSTICS (NAGA CEBU BRANCH),NATIONAL HIGHWAY NORTH POBLACION NAGA CEBU,(032) 4896939; (0998) 537-6375
1205,"CATANDUANES DOCTORS HOSPITAL, INC.",SURTIDA ST BRGY VALENCIA VIRAC CATANDUANES,(052) 740-5441 TO 42 LOC 105
1206,DYNA MICRON DIAGNOSTIC CENTER,GEN AGUINALDO - ECHIVERRI STREETS  ILIGAN CITY LANAO DEL NORTE,(063) 221-6336
1207,BIOLAB DIAGNOSTICS,ALDECOA DRIVE EXTENSION PUROK BALUNO DARO DUMAGUETE CITY NEGROS ORIENTAL,(035) 420-0713
1208,THE MEDICAL CITY CLINIC (ARANETA CENTER BRANCH),"2/F CYBER PARK  TOWER 1 GEN. AGUINALDO AVE., COR. GEN. MC ARTHUR AVE. BRGY SOCORRO QUEZON CITY METRO MANILA",(02) 8249-8090 / 8277-0609
1209,SAN PABLO COLLEGES MEDICAL CENTER, BRGY SAN RAFAEL SAN PABLO CITY LAGUNA,(049) 562-0726 TO 28
1210,THE MEDICAL CITY CLINIC (SM - SHAW BRANCH),G/F SM HYPERMARKET MANDALUYONG SHAW BLVD. COR. MAGALONA ST. BAGONG SILANG MANDALUYONG CITY METRO MANILA,(02) 8260-9375 / 8290-2379 / 8689-1486
